,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률,선수OPS,선수WAR
173,송명기,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
174,송은범,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
175,진명호,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
176,김민,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
177,함덕주,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
178,이보근,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
179,오원석,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
180,최성훈,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
181,류희운,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
182,안현준,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
183,조병욱,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
184,김민규,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
185,이정용,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
186,김대현,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
187,조성운,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
188,전유수,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
189,김상수,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
190,이영하,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
191,남호,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
192,임현준,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
193,김원중,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
194,박종훈,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
195,서진용,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
