Date,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team
2019-05-11,한화,LG,채드벨,차우찬,정은원 오선진 호잉 김태균 송광민 이성열 최진행 백창수 최재훈 ,이천웅 정주현 김현수 조셉 채은성 이형종 김민성 정상호 오지환 ,4,6,1
2019-05-11,키움,KT,요키시,금민철,이정후 김하성 샌즈 박병호 장영석 서건창 이지영 허정협 김지수 ,김민혁 오승택 강백호 로하스 박경수 황재균 유한준 이준수 강민국 ,6,2,0
2019-05-11,롯데,삼성,레일리,헤일리,강로한 신본기 허일 이대호 손아섭 전준우 채태인 안중열 오윤석 ,김상수 최영진 이원석 러프 강민호 김헌곤 박계범 박한이 박해민 ,2,9,1
2019-05-11,SK,KIA,다익손,터너,고종욱 한유섬 최정 로맥 김강민 김성현 최항 허도환 노수광 ,이명기 김선빈 황대인 최형우 나지완 이창진 류승현 박찬호 한승택 ,10,3,0
2019-05-11,두산,NC,후랭코프,박진우,류지혁 페르난데스 박건우 김재환 오재일 허경민 박세혁 김경호 오재원 ,박민우 노진혁 모창민 양의지 베탄코트 강진성 권희동 김태진 손시헌 ,12,0,0
2019-05-12,한화,LG,김범수,이우찬,정은원 오선진 호잉 김태균 이성열 최진행 노시환 백창수 최재훈 ,이천웅 정주현 김현수 조셉 채은성 이형종 김민성 유강남 백승현 ,0,2,1
2019-05-12,키움,KT,김태훈,알칸타라,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 이지영 김혜성 ,김민혁 오승택 강백호 로하스 박경수 황재균 유한준 장성우 강민국 ,3,9,1
2019-05-12,롯데,삼성,박시영,백정현,정훈 신본기 허일 이대호 손아섭 전준우 오윤석 안중열 강로한 ,박해민 김상수 이원석 러프 박한이 강민호 김헌곤 공민규 박계범 ,10,9,0
2019-05-12,SK,KIA,박종훈,김기훈,김강민 고종욱 최정 로맥 이재원 나주환 김성현 배영섭 안상현 ,류승현 김선빈 안치홍 최형우 이창진 이인행 최정민 박찬호 한승택 ,4,3,0
2019-05-12,두산,NC,이용찬,버틀러,허경민 정진호 페르난데스 김재환 오재일 박세혁 김인태 정병곤 오재원 ,박민우 김태진 노진혁 양의지 베탄코트 권희동 손시헌 김성욱 이상호 ,3,2,0
2019-05-14,삼성,두산,맥과이어,이영하,박해민 김상수 구자욱 러프 이원석 김헌곤 최영진 강민호 이학주 ,허경민 페르난데스 박건우 김재환 오재일 박세혁 류지혁 정진호 오재원 ,4,3,0
2019-05-14,키움,한화,이승호,김민우,이정후 서건창 김하성 박병호 샌즈 임병욱 장영석 이지영 허정협 ,정은원 오선진 호잉 김태균 이성열 최진행 노시환 최재훈 백창수 ,3,7,1
2019-05-14,KT,KIA,김민,양현종,황재균 오승택 강백호 로하스 유한준 장성우 박경수 강민국 송민섭 ,이명기 김선빈 안치홍 최형우 이창진 류승현 한승택 박찬호 박준태 ,6,1,0
2019-05-14,LG,롯데,장원삼,톰슨,이천웅 이형종 김현수 조셉 채은성 유강남 정주현 오지환 백승현 ,강로한 신본기 허일 이대호 손아섭 전준우 채태인 나종덕 오윤석 ,0,4,1
2019-05-14,SK,NC,문승원,루친스키,고종욱 한유섬 최정 로맥 이재원 김강민 김성현 최항 노수광 ,박민우 김태진 노진혁 양의지 권희동 손시헌 베탄코트 오영수 김성욱 ,2,8,1
2019-05-15,삼성,두산,윤성환,린드블럼,박해민 김상수 구자욱 러프 김헌곤 최영진 이학주 강민호 박찬도 ,류지혁 페르난데스 박건우 김재환 오재일 김재호 박세혁 오재원 정진호 ,1,3,1
2019-05-15,키움,한화,브리검,서폴드,이정후 서건창 김하성 박병호 샌즈 임병욱 장영석 송성문 이지영 ,정은원 오선진 호잉 김태균 이성열 최진행 김회성 최재훈 양성우 ,4,5,1
2019-05-15,KT,KIA,쿠에바스,윌랜드,조용호 오승택 강백호 로하스 유한준 황재균 장성우 박경수 정현 ,이명기 김선빈 안치홍 최형우 이창진 류승현 이인행 한승택 박찬호 ,7,4,0
2019-05-15,LG,롯데,윌슨,장시환,이천웅 오지환 김현수 조셉 채은성 이형종 김민성 유강남 정주현 ,강로한 신본기 허일 이대호 손아섭 전준우 채태인 나종덕 오윤석 ,4,8,1
2019-05-15,SK,NC,김광현,유원상,고종욱 한유섬 최정 로맥 이재원 나주환 김성현 노수광 안상현 ,박민우 이상호 노진혁 양의지 베탄코트 권희동 김성욱 김태진 김찬형 ,7,3,0
2019-05-16,삼성,두산,원태인,유희관,박해민 김상수 구자욱 러프 이원석 김헌곤 강민호 최영진 박계범 ,허경민 페르난데스 박건우 김재환 오재일 김재호 박세혁 류지혁 정진호 ,1,4,1
2019-05-16,키움,한화,안우진,장민재,이정후 서건창 김하성 박병호 샌즈 임병욱 장영석 송성문 박동원 ,정은원 오선진 호잉 김태균 이성열 김회성 장진혁 지성준 양성우 ,6,15,1
2019-05-16,KT,KIA,이대은,홍건희,김민혁 오승택 강백호 로하스 유한준 황재균 장성우 박경수 심우준 ,이창진 김선빈 안치홍 최형우 황대인 유민상 이명기 한승택 박찬호 ,6,3,0
2019-05-16,LG,롯데,켈리,김원중,이천웅 오지환 김현수 조셉 채은성 이형종 김민성 유강남 정주현 ,강로한 오윤석 허일 이대호 손아섭 전준우 채태인 나종덕 신용수 ,3,2,0
2019-05-16,SK,NC,산체스,박진우,배영섭 한유섬 최정 로맥 이재원 나주환 김성현 최항 노수광 ,박민우 김태진 노진혁 양의지 베탄코트 김성욱 손시헌 권희동 강진성 ,2,5,1
2019-05-17,NC,LG,구창모,차우찬,박민우 김성욱 권희동 양의지 베탄코트 노진혁 강진성 김찬형 김태진 ,이천웅 정주현 김현수 조셉 채은성 이형종 김민성 정상호 오지환 ,13,2,0
2019-05-17,롯데,키움,레일리,요키시,강로한 오윤석 허일 이대호 손아섭 전준우 채태인 안중열 신본기 ,서건창 김하성 샌즈 박병호 장영석 임병욱 허정협 박동원 이지영 ,0,7,1
2019-05-17,두산,SK,후랭코프,다익손,류지혁 페르난데스 박건우 김재환 오재일 허경민 김재호 박세혁 정진호 ,노수광 고종욱 한유섬 로맥 최승준 김성현 박승욱 배영섭 허도환 ,3,1,0
2019-05-17,삼성,KT,헤일리,금민철,박해민 김상수 구자욱 러프 이원석 김헌곤 강민호 이학주 최영진 ,김민혁 조용호 강백호 로하스 오승택 정현 강민국 이준수 심우준 ,14,3,0
