순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
131,장승현,20두C,0.12,23,22,20,5,5,3,0,0,8,3,0,0,1,1,0,6,2,0,0,.250,.318,.400,.718,.329,94.3,0.12,0.07
132,송준석,20삼RF,0.12,32,50,47,5,13,5,0,1,21,7,0,0,2,1,0,6,4,0,0,.277,.320,.447,.767,.345,97.7,0.12,0.19
133,이진영,20K,0.10,32,27,22,4,5,1,0,0,6,5,1,0,5,0,0,9,1,0,0,.227,.370,.273,.643,.323,84.0,0.10,-0.01
134,김호은,20L1B,0.10,67,108,99,12,25,5,0,2,36,11,0,0,7,2,0,13,2,0,0,.253,.315,.364,.679,.315,84.9,0.10,0.83
135,지성준,20롯C,0.09,3,11,8,0,2,0,0,0,2,2,0,0,3,0,0,4,0,0,0,.250,.455,.250,.705,.371,117.9,0.09,0.16
136,이흥련,20두SC,0.09,49,132,125,6,30,1,0,3,40,20,0,0,6,0,0,29,5,0,1,.240,.273,.320,.593,.273,51.8,0.09,-0.36
137,이성우,20LC,0.09,71,84,75,7,18,1,0,3,28,11,0,0,6,0,0,14,3,3,0,.240,.296,.373,.670,.295,73.3,0.09,-0.25
138,신성현,20두,0.08,8,7,4,2,1,1,0,0,2,0,0,0,3,0,0,3,0,0,0,.250,.571,.500,1.071,.498,202.2,0.08,0.14
139,김성윤,20삼LF,0.08,9,9,7,1,2,1,0,0,3,0,0,0,1,1,0,1,0,0,0,.286,.444,.429,.873,.414,144.5,0.08,-0.10
140,김민식,20KC,0.07,69,237,210,22,52,6,1,2,66,21,0,0,17,2,0,28,3,6,2,.248,.307,.314,.622,.286,60.5,0.07,-0.36
141,오선우,20KRF,0.07,59,73,67,11,16,0,0,4,28,14,0,0,3,3,0,26,2,0,0,.239,.301,.418,.719,.324,84.0,0.07,-0.13
142,신용수,20롯RF,0.07,5,8,7,2,3,0,0,0,3,2,1,1,1,0,0,0,0,0,0,.429,.500,.429,.929,.445,165.6,0.07,0.16
143,김기환,20N,0.06,4,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.500,.500,1.000,1.500,.645,287.0,0.06,0.00
144,서예일,20두3B,0.06,39,29,25,4,6,2,0,0,8,1,0,0,3,0,0,7,0,0,1,.240,.310,.320,.630,.295,69.6,0.06,0.09
145,유서준,20SSS,0.06,28,25,24,10,6,1,0,1,10,2,1,1,1,0,0,7,2,0,0,.250,.280,.417,.697,.310,75.3,0.06,-0.11
146,김문호,20한1B,0.05,18,52,46,6,10,1,0,2,17,5,0,0,5,1,0,11,1,0,0,.217,.308,.370,.677,.312,80.4,0.05,0.17
147,임지열,20키,0.05,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.942,493.1,0.05,0.00
148,김민수,20롯3B,0.04,3,10,8,1,2,0,0,0,2,0,1,0,2,0,0,4,0,0,0,.250,.400,.250,.650,.335,93.9,0.04,0.08
149,강현우,20KC,0.04,26,32,30,2,6,2,0,1,11,3,0,0,2,0,0,11,1,0,0,.200,.250,.367,.617,.276,54.1,0.04,0.02
150,신본기,20롯3B,0.04,81,123,106,18,23,1,0,2,30,12,1,0,14,1,0,22,3,1,1,.217,.312,.283,.595,.285,60.6,0.04,-0.30
151,최승준,20한1B,0.04,2,4,3,1,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,.333,.500,.333,.833,.426,158.2,0.04,0.07
152,장준원,20L3B,0.04,44,66,58,9,13,3,0,1,19,6,0,0,6,0,0,7,2,1,1,.224,.292,.328,.620,.283,63.9,0.04,0.00
153,허관회,20한C,0.04,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.500,.500,.500,1.000,.471,191.0,0.04,-0.04
154,김주찬,20K1B,0.04,7,18,18,3,6,0,0,1,9,2,0,1,0,0,0,2,2,0,0,.333,.333,.500,.833,.371,115.7,0.04,-0.38
155,김현민,20한2B,0.03,4,5,5,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,.400,.400,.400,.800,.377,126.5,0.03,-0.02
