순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
131,배정대,18KRF,0.044,10,0,27.2,6,6,0,0,1.000,1.95,0.82,-0.20,0.00,0.00,0.02,0.64,27.66,-0.15,0.49,0.058,0.044
132,임찬규,18LP,0.044,29,27,146.2,24,7,16,1,.958,1.41,0.36,0.00,0.00,0.07,0.06,0.49,4.01,0.00,0.49,0.044,0.044
133,배영수,18한P,0.044,11,11,55.2,9,3,6,0,1.000,1.46,0.36,0.00,0.00,0.03,0.10,0.49,10.50,0.00,0.49,0.044,0.044
134,배재환,18NP,0.043,31,0,36.0,9,1,8,0,1.000,2.25,0.53,0.00,0.00,-0.12,0.06,0.48,15.97,0.00,0.48,0.043,0.043
135,김승회,18두P,0.043,55,0,54.2,17,6,11,0,1.000,2.80,0.62,0.00,0.00,-0.24,0.10,0.48,10.48,0.00,0.48,0.043,0.043
136,윤규진,18한P,0.042,18,17,84.0,12,6,6,0,1.000,1.29,0.28,0.00,0.00,0.04,0.15,0.47,6.68,0.00,0.47,0.042,0.042
137,박희수,18SP,0.042,35,0,33.0,8,2,6,0,1.000,2.18,0.39,0.00,0.00,0.02,0.06,0.47,17.02,0.00,0.47,0.042,0.042
138,채병용,18SP,0.041,29,0,30.0,3,0,3,0,1.000,0.90,0.39,0.00,0.00,0.01,0.05,0.46,18.46,0.00,0.46,0.041,0.041
139,백용환,18KC,0.041,28,12,119.1,95,85,8,2,.979,7.01,-0.36,0.00,-0.07,-0.04,-0.22,-0.68,-6.83,1.14,0.46,-0.061,0.041
140,팻딘,18KP,0.040,36,21,129.1,14,3,11,0,1.000,0.97,0.15,0.00,0.00,0.06,0.23,0.45,4.12,0.00,0.45,0.040,0.040
141,헤일,18한P,0.040,12,12,66.1,16,3,12,1,.938,2.04,0.49,0.00,0.00,0.03,-0.08,0.44,7.96,0.00,0.44,0.040,0.040
142,정인욱,18삼P,0.039,19,0,31.0,5,1,4,0,1.000,1.45,0.37,0.00,0.00,0.01,0.06,0.44,16.97,0.00,0.44,0.039,0.039
143,김사율,18KP,0.038,29,3,45.1,8,4,4,0,1.000,1.59,0.32,0.00,0.00,0.02,0.08,0.43,11.28,0.00,0.43,0.038,0.038
