,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점
172,김민수,2.0,,0.25,0.0,1.0,1.0,9.0
173,유재유,2.21,0.0,0.3235294117647059,0.029411764705882353,0.819672131147541,0.49180327868852464,7.3770491803278695
174,배영수,1.51,0.4,0.2749003984063745,0.02390438247011952,0.8514492753623188,0.2717391304347826,6.684782608695651
175,황수범,3.86,,0.2,0.0,0.9523809523809523,2.857142857142857,12.857142857142856
176,안성무,1.71,,0.2727272727272727,0.18181818181818182,2.380952380952381,0.47619047619047616,12.857142857142856
177,정영일,1.57,1.0,0.23414634146341465,0.03414634146341464,0.75,0.4772727272727273,5.318181818181818
178,박성모,2.0,0.0,0.36363636363636365,0.09090909090909091,0.5,0.0,9.0
179,조무근,4.5,1.0,0.3333333333333333,0.0,5.0,5.0,45.0
180,한기주,1.69,0.2,0.29508196721311475,0.04371584699453552,0.7692307692307693,0.3076923076923077,6.6923076923076925
181,최건,3.5,,0.38461538461538464,0.0,1.0,1.0,13.5
182,김용하,2.0,,0.10526315789473684,0.0,1.3333333333333333,1.3333333333333333,9.0
183,신병률,1.64,,0.2916666666666667,0.05,0.5555555555555556,0.2777777777777778,7.142857142857143
184,현도훈,1.96,0.0,0.2619047619047619,0.047619047619047616,0.6097560975609757,0.7317073170731708,7.682926829268293
185,조성훈,4.5,,0.75,0.0,0.0,0.0,90.0
186,류재인,1.8,,0.09090909090909091,0.09090909090909091,1.6666666666666667,1.6666666666666667,22.5
187,정태승,2.63,,0.25,0.0,1.3636363636363635,1.3636363636363635,8.181818181818182
188,김성민,1.71,0.6666666666666666,0.26991150442477874,0.02654867256637168,0.9375,0.4375,6.1875
189,김민규,9.0,,0.25,0.0,0.0,20.0,180.0
190,이승현,1.77,0.5,0.2804878048780488,0.04878048780487805,0.8235294117647058,0.4117647058823529,7.9411764705882355
191,이동걸,2.5,,0.45454545454545453,0.09090909090909091,1.0,0.0,18.0
192,임창민,1.43,0.0,0.24242424242424243,0.06060606060606061,1.2857142857142858,0.2857142857142857,6.428571428571429
193,조성운,1.8,,0.2734375,0.046875,0.9541984732824428,0.4961832061068702,7.557251908396947
194,박민호,2.14,,0.3333333333333333,0.08333333333333333,0.0,0.47619047619047616,17.142857142857142
195,홍성민,1.91,,0.3333333333333333,0.05555555555555555,0.9375,0.3125,14.0625
196,김대우,2.7,,0.42105263157894735,0.10526315789473684,0.6451612903225806,0.3225806451612903,14.516129032258064
197,강윤구,1.46,0.5833333333333334,0.2222222222222222,0.0411522633744856,1.1992619926199262,0.4797047970479705,6.143911439114391
198,박근홍,1.74,1.0,0.23931623931623933,0.02564102564102564,1.173913043478261,0.5217391304347826,7.434782608695652
199,김정인,2.32,0.0,0.358974358974359,0.02564102564102564,0.5633802816901409,0.4225352112676057,8.873239436619718
200,김민우,1.75,0.35714285714285715,0.2841880341880342,0.0405982905982906,0.7366296670030272,0.41372351160444,6.538849646821393
201,김기태,2.4,,0.4,0.3,1.6666666666666667,0.0,37.5
202,서의태,4.5,,0.16666666666666666,0.0,5.0,10.0,180.0
203,김택형,1.63,0.3333333333333333,0.17307692307692307,0.019230769230769232,0.9821428571428572,0.8928571428571429,8.035714285714286
204,하준영,1.64,,0.23880597014925373,0.04477611940298507,0.8450704225352114,0.5633802816901409,9.507042253521128
205,김태형,6.0,,0.25,0.0,0.0,4.0,36.0
206,김시현,2.4,,0.3448275862068966,0.06896551724137931,1.0,0.4,12.6
207,김경태,3.38,,0.23529411764705882,0.11764705882352941,0.9090909090909091,2.2727272727272725,20.454545454545453
208,김진영,1.5,,0.2653061224489796,0.02040816326530612,0.8108108108108109,0.3603603603603604,8.108108108108109
209,고효준,1.73,0.4,0.21568627450980393,0.0196078431372549,1.2149532710280373,0.7165109034267912,7.009345794392523
210,최민준,2.2,,0.39285714285714285,0.17857142857142858,0.6,0.0,14.4
211,이영준,4.5,,0.4,0.0,1.0,1.5,22.5
212,손주영,2.31,0.0,0.20967741935483872,0.0,0.625,1.25,8.839285714285715
213,김용주,3.5,,0.38461538461538464,0.07692307692307693,1.0,1.0,18.0
214,최지광,2.08,,0.24444444444444444,0.0,0.853658536585366,0.853658536585366,12.073170731707318
215,강지광,4.0,,0.38095238095238093,0.047619047619047616,1.0,1.3333333333333333,21.0
216,박주홍,1.93,0.5,0.2765957446808511,0.0425531914893617,0.989010989010989,0.5494505494505495,8.901098901098901
217,심수창,3.0,,0.5384615384615384,0.15384615384615385,0.9523809523809523,0.0,17.142857142857142
218,장현식,1.8,0.6,0.24603174603174602,0.05555555555555555,0.916030534351145,0.648854961832061,7.557251908396947
219,장민익,3.5,,0.35714285714285715,0.21428571428571427,1.0,1.0,27.0
220,김세현,1.83,0.14285714285714285,0.2931937172774869,0.020942408376963352,0.8,0.425,6.75
